ID	Data + units	Time
6	-0.319200, 1.938000, 0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.597830463s
6	-0.311600, 1.938000, -0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.601100327s
6	-0.235600, 1.938000, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.604370191s
6	-0.159600, 1.938000, -0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.607640055s
6	-0.083600, 1.938000, -0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.610909919s
6	-0.098800, 1.938000, -0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.614179783s
6	-0.174800, 1.938000, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.617449647s
6	-0.281200, 1.938000, 0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.620719511s
6	-0.342000, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.623989375s
6	-0.319200, 1.938000, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.627259239s
6	-0.250800, 1.938000, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.630529103s
6	-0.182400, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.633798967s
6	-0.144400, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.637068831s
6	-0.083600, 1.938000, -0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.640338695s
6	-0.083600, 1.938000, -0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.643608559s
6	-0.136800, 1.938000, 0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.646878423s
6	-0.212800, -0.007600, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.650148287s
6	-0.235600, -0.007600, 0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.653418151s
6	-0.167200, -0.007600, 0.220400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.656688015s
6	-0.136800, -0.007600, 0.228000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.659957879s
6	-0.129200, 1.938000, 0.212800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.663227743s
6	-0.129200, 1.938000, 0.159600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.666497607s
6	-0.114000, 1.938000, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.669767471s
6	-0.098800, 1.938000, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.673037335s
6	-0.121600, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.676307199s
6	-0.174800, 1.938000, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.679577063s
6	-0.235600, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.682846927s
6	-0.296400, 1.938000, 0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.686116791s
6	-0.334400, 1.938000, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.689386655s
6	-0.326800, -0.007600, 0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.692656519s
6	-0.273600, 1.938000, 0.159600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.695926383s
6	-0.212800, 1.938000, 0.197600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.699196247s
6	-0.152000, -0.007600, 0.228000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.702466111s
6	-0.098800, -0.007600, 0.243200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.705735975s
6	-0.091200, -0.007600, 0.258400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.709005839s
6	-0.144400, -0.007600, 0.235600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.712275703s
6	-0.281200, -0.007600, 0.205200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.715545567s
