ID	Data + units	Time
7	-0.039000, 0.027300, 1.160250 X G, Y G, Z G	At T: 1540594764.641088114s
7	-0.039000, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540594764.665963040s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540594764.690837966s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594764.715712892s
7	-0.040950, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540594764.740587818s
7	-0.042900, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594764.765462744s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540594764.790337670s
7	-0.040950, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540594764.815212596s
7	-0.046800, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540594764.840087522s
7	-0.042900, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540594764.864962448s
7	-0.040950, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540594764.889837374s
7	-0.039000, 0.039000, 0.996450 X G, Y G, Z G	At T: 1540594764.914712300s
7	-0.042900, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540594764.939587226s
7	-0.040950, 0.046800, 0.986700 X G, Y G, Z G	At T: 1540594764.964462152s
7	-0.037050, 0.031200, 0.994500 X G, Y G, Z G	At T: 1540594764.989337078s
7	-0.039000, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540594765.014212004s
7	-0.040950, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540594765.039086930s
7	-0.040950, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540594765.063961856s
7	-0.037050, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594765.088836782s
7	-0.040950, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540594765.113711708s
7	-0.044850, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540594765.138586634s
7	-0.040950, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594765.163461560s
7	-0.040950, 0.044850, 0.961350 X G, Y G, Z G	At T: 1540594765.188336486s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594765.213211412s
7	-0.039000, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540594765.238086338s
7	-0.042900, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540594765.871250417s
7	-0.046800, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594765.881451906s
7	-0.039000, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594765.891653395s
7	-0.046800, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594765.901854884s
7	-0.039000, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540594765.912056373s
7	-0.046800, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540594765.922257862s
7	-0.046800, 0.042900, 0.996450 X G, Y G, Z G	At T: 1540594765.932459351s
7	-0.039000, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540594765.942660840s
7	-0.044850, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540594765.952862329s
7	-0.042900, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540594765.963063818s
7	-0.037050, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594765.973265307s
7	-0.044850, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594765.983466796s
7	-0.040950, 0.035100, 0.994500 X G, Y G, Z G	At T: 1540594765.993668285s
7	-0.039000, 0.035100, 0.990600 X G, Y G, Z G	At T: 1540594766.003869774s
7	-0.044850, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540594766.014071263s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594766.024272752s
7	-0.040950, 0.042900, 0.963300 X G, Y G, Z G	At T: 1540594766.034474241s
7	-0.044850, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540594766.044675730s
7	-0.040950, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594766.054877219s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594766.065078708s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594766.075280197s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594766.085481686s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594766.095683175s
7	-0.042900, 0.040950, 1.000350 X G, Y G, Z G	At T: 1540594766.105884664s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594767.103633057s
7	-0.042900, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594767.113336422s
7	-0.046800, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540594767.123039787s
7	-0.040950, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540594767.132743152s
7	-0.044850, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540594767.142446517s
7	-0.044850, 0.039000, 0.994500 X G, Y G, Z G	At T: 1540594767.152149882s
7	-0.044850, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540594767.161853247s
7	-0.040950, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594767.171556612s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540594767.181259977s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540594767.190963342s
7	-0.039000, 0.046800, 0.990600 X G, Y G, Z G	At T: 1540594767.200666707s
7	-0.039000, 0.039000, 0.963300 X G, Y G, Z G	At T: 1540594767.210370072s
7	-0.040950, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594767.220073437s
7	-0.039000, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540594767.229776802s
7	-0.039000, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594767.239480167s
7	-0.039000, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540594767.249183532s
7	-0.039000, 0.042900, 0.980850 X G, Y G, Z G	At T: 1540594767.258886897s
7	-0.040950, 0.044850, 0.980850 X G, Y G, Z G	At T: 1540594767.268590262s
7	-0.039000, 0.044850, 0.980850 X G, Y G, Z G	At T: 1540594767.278293627s
7	-0.042900, 0.035100, 0.990600 X G, Y G, Z G	At T: 1540594767.287996992s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540594767.297700357s
7	-0.044850, 0.044850, 0.982800 X G, Y G, Z G	At T: 1540594767.307403722s
7	-0.042900, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540594767.317107087s
7	-0.042900, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594767.326810452s
7	-0.040950, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540594768.340375852s
7	-0.039000, 0.040950, 0.982800 X G, Y G, Z G	At T: 1540594768.350233698s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540594768.360091544s
7	-0.040950, 0.035100, 0.994500 X G, Y G, Z G	At T: 1540594768.369949390s
7	-0.040950, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594768.379807236s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594768.389665082s
7	-0.044850, 0.040950, 0.965250 X G, Y G, Z G	At T: 1540594768.399522928s
7	-0.044850, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540594768.409380774s
7	-0.040950, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540594768.419238620s
7	-0.040950, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540594768.429096466s
7	-0.044850, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540594768.438954312s
7	-0.040950, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594768.448812158s
7	-0.039000, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594768.458670004s
7	-0.039000, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540594768.468527850s
7	-0.040950, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540594768.478385696s
7	-0.046800, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540594768.488243542s
7	-0.042900, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540594768.498101388s
7	-0.040950, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540594768.507959234s
7	-0.040950, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540594768.517817080s
7	-0.040950, 0.039000, 0.988650 X G, Y G, Z G	At T: 1540594768.527674926s
7	-0.037050, 0.046800, 0.988650 X G, Y G, Z G	At T: 1540594768.537532772s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594768.547390618s
7	-0.042900, 0.035100, 0.986700 X G, Y G, Z G	At T: 1540594768.557248464s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594768.567106310s
7	-0.042900, 0.039000, 0.990600 X G, Y G, Z G	At T: 1540594769.571181179s
7	-0.046800, 0.044850, 0.965250 X G, Y G, Z G	At T: 1540594769.581208811s
7	-0.046800, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540594769.591236443s
