ID	Data + units	Time
8	40.119999, 100426, 8.919922 C, PA, %RH	At T: 1540595014.358825819s
8	40.139999, 100423, 8.885742 C, PA, %RH	At T: 1540595015.600768734s
8	40.160000, 100433, 8.863281 C, PA, %RH	At T: 1540595016.826997438s
8	40.160000, 100428, 8.851562 C, PA, %RH	At T: 1540595018.083193087s
8	40.160000, 100429, 8.852539 C, PA, %RH	At T: 1540595019.321321898s
8	40.160000, 100429, 8.829102 C, PA, %RH	At T: 1540595020.581523464s
8	40.180000, 100424, 8.818359 C, PA, %RH	At T: 1540595021.821705883s
8	40.180000, 100425, 8.806641 C, PA, %RH	At T: 1540595023.076819883s
8	40.189999, 100426, 8.807617 C, PA, %RH	At T: 1540595024.304828061s
8	40.200001, 100421, 8.818359 C, PA, %RH	At T: 1540595025.543318512s
8	40.180000, 100424, 8.818359 C, PA, %RH	At T: 1540595026.772718569s
8	40.200001, 100424, 8.818359 C, PA, %RH	At T: 1540595028.012656482s
8	40.180000, 100421, 8.806641 C, PA, %RH	At T: 1540595029.240405898s
8	40.209999, 100426, 8.795898 C, PA, %RH	At T: 1540595030.476106508s
8	40.200001, 100424, 8.784180 C, PA, %RH	At T: 1540595031.700329095s
8	40.209999, 100425, 8.784180 C, PA, %RH	At T: 1540595032.935257741s
8	40.230000, 100426, 8.785156 C, PA, %RH	At T: 1540595034.169528540s
8	40.239998, 100427, 8.819336 C, PA, %RH	At T: 1540595035.411620787s
8	40.250000, 100424, 8.831055 C, PA, %RH	At T: 1540595036.641264712s
8	40.230000, 100429, 8.865234 C, PA, %RH	At T: 1540595037.884584927s
8	40.219997, 100432, 8.921875 C, PA, %RH	At T: 1540595039.111153883s
8	40.230000, 100429, 8.887695 C, PA, %RH	At T: 1540595040.364273860s
8	40.230000, 100429, 8.875977 C, PA, %RH	At T: 1540595041.586689133s
8	40.239998, 100427, 8.865234 C, PA, %RH	At T: 1540595042.833523500s
8	40.259998, 100438, 8.831055 C, PA, %RH	At T: 1540595044.071125810s
8	40.259998, 100431, 8.831055 C, PA, %RH	At T: 1540595045.303213771s
8	40.270000, 100424, 8.808594 C, PA, %RH	At T: 1540595046.522917699s
8	40.279999, 100429, 8.797852 C, PA, %RH	At T: 1540595047.754036452s
8	40.290001, 100427, 8.775391 C, PA, %RH	At T: 1540595048.978748594s
8	40.299999, 100429, 8.763672 C, PA, %RH	At T: 1540595050.225484453s
8	40.290001, 100424, 8.717773 C, PA, %RH	At T: 1540595051.452108040s
8	40.309998, 100427, 8.718750 C, PA, %RH	At T: 1540595052.697250921s
8	40.329998, 100438, 8.696289 C, PA, %RH	At T: 1540595053.922790180s
8	40.349998, 100428, 8.685547 C, PA, %RH	At T: 1540595055.173684876s
8	40.320000, 100432, 8.672852 C, PA, %RH	At T: 1540595056.408196757s
8	40.329998, 100433, 8.684570 C, PA, %RH	At T: 1540595057.648530154s
8	40.340000, 100436, 8.730469 C, PA, %RH	At T: 1540595058.879879485s
8	40.329998, 100428, 8.741211 C, PA, %RH	At T: 1540595060.128121582s
8	40.360001, 100430, 8.719727 C, PA, %RH	At T: 1540595061.352208043s
8	40.340000, 100430, 8.685547 C, PA, %RH	At T: 1540595062.584977507s
8	40.349998, 100431, 8.662109 C, PA, %RH	At T: 1540595063.806461774s
8	40.360001, 100432, 8.662109 C, PA, %RH	At T: 1540595065.037973540s
8	40.349998, 100428, 8.662109 C, PA, %RH	At T: 1540595066.261657700s
8	40.369999, 100431, 8.663086 C, PA, %RH	At T: 1540595067.510859709s
8	40.379997, 100436, 8.674805 C, PA, %RH	At T: 1540595068.742825765s
8	40.399998, 100431, 8.663086 C, PA, %RH	At T: 1540595069.987128616s
8	40.410000, 100432, 8.640625 C, PA, %RH	At T: 1540595071.207073046s
8	40.389999, 100432, 8.651367 C, PA, %RH	At T: 1540595072.439513308s
8	40.419998, 100437, 8.652344 C, PA, %RH	At T: 1540595073.670973648s
8	40.419998, 100431, 8.640625 C, PA, %RH	At T: 1540595074.912551401s
