ID	Data + units	Time
7	-0.050700, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595016.745630014s
7	-0.048750, 0.044850, 0.996450 X G, Y G, Z G	At T: 1540595016.755347974s
7	-0.048750, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595017.779199668s
7	-0.048750, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540595017.789482977s
7	-0.048750, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595017.799766286s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595017.810049595s
7	-0.048750, 0.039000, 0.992550 X G, Y G, Z G	At T: 1540595017.820332904s
7	-0.044850, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595017.830616213s
7	-0.044850, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595017.840899522s
7	-0.042900, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595017.851182831s
7	-0.039000, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595017.861466140s
7	-0.039000, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595017.871749449s
7	-0.040950, 0.037050, 0.990600 X G, Y G, Z G	At T: 1540595017.882032758s
7	-0.042900, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595017.892316067s
7	-0.044850, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595017.902599376s
7	-0.040950, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595017.912882685s
7	-0.040950, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595017.923165994s
7	-0.044850, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595017.933449303s
7	-0.044850, 0.042900, 0.969150 X G, Y G, Z G	At T: 1540595017.943732612s
7	-0.042900, 0.044850, 0.982800 X G, Y G, Z G	At T: 1540595017.954015921s
7	-0.042900, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595017.964299230s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595017.974582539s
