ID	Data + units	Time
9	-0.976562, -1.907349, -1.998901 X mT, Y mT, Z mT	At T: 1540595014.660820503s
9	-0.991821, -1.907349, -2.014160 X mT, Y mT, Z mT	At T: 1540595015.902797626s
9	-0.991821, -1.876831, -1.998901 X mT, Y mT, Z mT	At T: 1540595017.129463192s
9	-1.007080, -1.907349, -1.983643 X mT, Y mT, Z mT	At T: 1540595018.386041996s
9	-0.961304, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540595019.624994530s
9	-1.007080, -1.907349, -1.983643 X mT, Y mT, Z mT	At T: 1540595020.883884684s
9	-0.976562, -1.937866, -1.998901 X mT, Y mT, Z mT	At T: 1540595022.124240265s
9	-0.976562, -1.922607, -1.998901 X mT, Y mT, Z mT	At T: 1540595023.379208480s
9	-0.976562, -1.907349, -2.029419 X mT, Y mT, Z mT	At T: 1540595024.607562522s
9	-0.991821, -1.892090, -2.014160 X mT, Y mT, Z mT	At T: 1540595025.845534867s
9	-0.991821, -1.892090, -1.983643 X mT, Y mT, Z mT	At T: 1540595027.074950008s
9	-0.991821, -1.968384, -2.044678 X mT, Y mT, Z mT	At T: 1540595028.315079250s
9	-0.991821, -1.937866, -1.998901 X mT, Y mT, Z mT	At T: 1540595029.542581634s
9	-0.976562, -1.876831, -1.998901 X mT, Y mT, Z mT	At T: 1540595030.778035419s
9	-0.976562, -1.922607, -2.014160 X mT, Y mT, Z mT	At T: 1540595032.002618121s
9	-0.976562, -1.922607, -2.029419 X mT, Y mT, Z mT	At T: 1540595033.237451105s
9	-0.991821, -1.953125, -1.968384 X mT, Y mT, Z mT	At T: 1540595034.472325510s
9	-0.976562, -1.876831, -2.029419 X mT, Y mT, Z mT	At T: 1540595035.713948315s
9	-0.991821, -1.907349, -2.014160 X mT, Y mT, Z mT	At T: 1540595036.944265718s
9	-1.007080, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540595038.187000580s
9	-0.991821, -1.937866, -2.044678 X mT, Y mT, Z mT	At T: 1540595039.413426209s
9	-0.991821, -1.907349, -1.968384 X mT, Y mT, Z mT	At T: 1540595040.666577561s
9	-0.991821, -1.907349, -2.014160 X mT, Y mT, Z mT	At T: 1540595041.889004835s
9	-0.991821, -1.861572, -2.044678 X mT, Y mT, Z mT	At T: 1540595043.135891493s
9	-0.991821, -1.861572, -1.998901 X mT, Y mT, Z mT	At T: 1540595044.373219772s
9	-0.961304, -1.876831, -2.014160 X mT, Y mT, Z mT	At T: 1540595045.605092741s
9	-0.991821, -1.907349, -2.014160 X mT, Y mT, Z mT	At T: 1540595046.824758421s
9	-0.961304, -1.907349, -2.044678 X mT, Y mT, Z mT	At T: 1540595048.055906800s
9	-0.976562, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540595049.280729856s
9	-1.007080, -1.907349, -2.014160 X mT, Y mT, Z mT	At T: 1540595050.528121236s
9	-1.007080, -1.953125, -1.953125 X mT, Y mT, Z mT	At T: 1540595051.754476292s
9	-0.976562, -1.922607, -1.983643 X mT, Y mT, Z mT	At T: 1540595053.000024993s
9	-0.961304, -1.876831, -2.014160 X mT, Y mT, Z mT	At T: 1540595054.225364052s
9	-0.991821, -1.892090, -2.059937 X mT, Y mT, Z mT	At T: 1540595055.476038506s
9	-0.991821, -1.861572, -1.998901 X mT, Y mT, Z mT	At T: 1540595056.715413099s
9	-0.976562, -1.892090, -2.044678 X mT, Y mT, Z mT	At T: 1540595057.950886745s
9	-0.961304, -1.892090, -1.983643 X mT, Y mT, Z mT	At T: 1540595059.182400363s
9	-0.946045, -1.892090, -2.059937 X mT, Y mT, Z mT	At T: 1540595060.430291890s
9	-0.961304, -1.892090, -2.014160 X mT, Y mT, Z mT	At T: 1540595061.654107487s
9	-0.991821, -1.892090, -2.029419 X mT, Y mT, Z mT	At T: 1540595062.886970823s
9	-0.976562, -1.892090, -2.044678 X mT, Y mT, Z mT	At T: 1540595064.108478216s
9	-0.976562, -1.922607, -2.029419 X mT, Y mT, Z mT	At T: 1540595065.339878361s
9	-1.007080, -1.892090, -2.029419 X mT, Y mT, Z mT	At T: 1540595066.564065797s
9	-1.022339, -1.907349, -2.014160 X mT, Y mT, Z mT	At T: 1540595067.813951451s
9	-0.991821, -1.861572, -2.029419 X mT, Y mT, Z mT	At T: 1540595069.045114910s
9	-0.991821, -1.922607, -1.998901 X mT, Y mT, Z mT	At T: 1540595070.289275392s
9	-1.007080, -1.922607, -2.014160 X mT, Y mT, Z mT	At T: 1540595071.508979373s
9	-0.961304, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540595072.741920035s
9	-0.961304, -1.907349, -1.998901 X mT, Y mT, Z mT	At T: 1540595073.973281797s
9	-0.991821, -1.876831, -2.029419 X mT, Y mT, Z mT	At T: 1540595075.214660433s
