ID	Data + units	Time
6	-0.212800, 1.938000, -0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.743511697s
6	-0.326800, 1.938000, -0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.751073131s
6	-0.364800, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.758634565s
6	-0.319200, 1.938000, 0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.766195999s
6	-0.220400, 1.938000, 0.167200 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.773757433s
6	-0.114000, -0.007600, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.781318867s
6	-0.068400, -0.007600, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.788880301s
6	-0.083600, -0.007600, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.796441735s
6	-0.076000, 1.938000, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.804003169s
6	-0.068400, 1.938000, -0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.811564603s
6	-0.076000, 1.938000, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.819126037s
6	-0.136800, 1.938000, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.826687471s
6	-0.212800, 1.938000, 0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.834248905s
6	-0.250800, 1.938000, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.841810339s
6	-0.243200, 1.938000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.849371773s
6	-0.182400, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.856933207s
6	-0.114000, 1.938000, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.864494641s
6	-0.121600, 1.938000, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.872056075s
6	-0.205200, 1.938000, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.879617509s
6	-0.311600, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.887178943s
6	-0.349600, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.894740377s
6	-0.281200, -0.007600, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.902301811s
6	-0.197600, 1.938000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.909863245s
6	-0.106400, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.917424679s
6	-0.106400, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.924986113s
6	-0.114000, 1.938000, 0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.932547547s
6	-0.167200, 1.938000, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.940108981s
6	-0.212800, 1.938000, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.947670415s
6	-0.258400, 1.938000, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.955231849s
6	-0.281200, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.962793283s
6	-0.273600, -0.007600, 0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.970354717s
6	-0.250800, -0.007600, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.977916151s
6	-0.258400, -0.007600, -0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.985477585s
6	-0.235600, -0.007600, -0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540595013.993039019s
6	-0.212800, 1.938000, -0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540595014.000600453s
6	-0.144400, 1.938000, -0.167200 X deg/s, Y deg/s, Z deg/s	At T: 1540595014.008161887s
6	-0.114000, 1.938000, -0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540595014.015723321s
6	-0.144400, 1.938000, -0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540595014.023284755s
